sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
16.0,3,1.0,1.0,114000,7125,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.2095736842105263
54.0,2,1.0,3.0,89900,1665,1,0,1964.0,0,1,0,0,1,0,0,0,0,0.1902237442922374
70.0,2,2.0,4.0,210000,3000,1,0,2003.0,1,1,0,1,0,0,1,1,1,0.2095736842105263
99.0,2,2.0,0.0,145000,1465,1,0,2007.0,0,1,0,0,0,0,0,0,0,0.1902237442922374
123.0,4,2.0,3.0,275000,2236,1,0,1970.0,1,0,0,0,1,0,0,1,0,0.2095736842105263
64.0,3,1.0,5.0,104000,1625,1,0,1970.0,1,0,0,0,0,0,0,0,0,0.1888532608695652
107.0,3,2.0,6.0,228629,2137,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
76.0,2,2.0,6.0,169021,2224,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
109.0,3,2.0,5.0,223022,2046,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
108.0,3,2.0,5.0,220072,2038,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
103.0,3,2.0,6.0,235718,2289,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
103.0,3,2.0,1.0,245000,2379,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
143.0,3,2.0,0.0,260000,1818,1,0,8170.0,0,0,0,1,0,0,1,1,1,0.2200382716049383
99.0,3,2.0,6.0,235000,2374,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
100.0,3,2.0,3.0,235000,2350,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
176.0,2,2.0,6.0,265000,1506,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
87.0,2,2.0,2.0,190000,2184,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
106.0,3,2.0,4.0,256115,2416,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
113.0,3,2.0,0.0,261989,2318,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
115.0,3,2.0,1.0,273353,2377,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
129.0,3,2.0,7.0,297621,2307,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
115.0,3,2.0,6.0,279778,2433,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
110.0,2,2.0,0.0,135000,1227,1,1,1970.0,1,0,0,0,1,0,1,0,0,0.1739828358208955
90.0,3,2.0,2.0,195000,2167,1,0,1985.0,1,0,0,0,1,0,1,0,0,0.1888532608695652
60.0,2,1.0,1.0,126900,2115,1,1,1970.0,0,0,0,0,0,0,0,0,0,0.2095736842105263
54.0,2,1.0,4.0,136400,2526,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.1888532608695652
80.0,3,1.0,0.0,145000,1812,1,0,1970.0,1,1,0,0,1,0,0,0,0,0.1902237442922374
73.0,2,1.0,1.0,127500,1747,1,0,1999.0,0,1,0,0,0,0,0,0,0,0.1902237442922374
122.0,3,2.0,0.0,179000,1467,1,0,1999.0,0,0,0,0,0,0,0,0,1,0.1902237442922374
98.0,3,2.0,0.0,266122,2716,1,0,2020.0,0,1,0,1,1,0,1,1,1,0.2200382716049383
