sq_mt_built,floor,buy_price,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
130.0,3.0,257000,1,0,1970.0,1,1,0,1,0,0,1,0,0.1902237442922374
49.0,0.0,84000,1,0,1969.0,0,0,0,0,0,0,1,0,0.1902237442922374
151.0,6.0,314000,1,0,1970.0,1,1,0,0,0,1,1,1,0.2095736842105263
69.0,4.0,107000,1,0,1961.0,0,0,0,1,0,1,0,0,0.1526878378378378
170.0,8.0,325000,3,0,2010.0,1,1,0,1,0,1,1,1,0.2200382716049383
48.0,4.0,89000,1,0,1971.0,0,0,0,0,0,0,0,0,0.2095736842105263
98.0,7.0,284900,1,0,2001.0,1,1,0,0,0,1,1,1,0.2095736842105263
50.0,7.0,135000,1,0,2008.0,1,1,0,0,0,1,0,1,0.1902237442922374
136.0,5.0,230000,3,0,1999.0,0,1,0,1,0,0,0,1,0.1902237442922374
80.0,3.0,163000,1,0,1970.0,1,1,0,0,0,1,0,0,0.1739828358208955
95.0,2.0,185000,1,0,1975.0,1,1,0,1,0,0,0,0,0.1902237442922374
56.0,5.0,80000,1,1,1965.0,0,0,0,1,0,0,0,0,0.1739828358208955
43.0,0.0,84000,1,0,1971.0,0,0,0,0,0,0,0,0,0.2095736842105263
72.0,3.0,119900,1,1,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
100.0,1.0,154900,1,0,1970.0,0,0,0,0,0,1,0,0,0.1739828358208955
70.0,4.0,119900,1,1,1970.0,0,1,0,1,0,0,0,0,0.1739828358208955
60.0,0.0,79900,1,0,1970.0,0,0,0,0,0,0,0,0,0.1739828358208955
60.0,2.0,79900,1,0,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
91.0,3.0,129900,1,0,1970.0,0,0,0,0,0,0,0,0,0.1739828358208955
74.0,2.0,99900,1,1,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
110.0,5.0,275000,1,0,1970.0,1,1,0,0,0,1,1,1,0.2200382716049383
83.0,3.0,91500,1,0,1966.0,0,0,0,1,1,0,0,0,0.1902237442922374
25.0,4.0,129000,1,0,1970.0,0,0,0,0,0,1,1,1,0.2095736842105263
65.0,0.0,86860,1,1,1982.0,0,0,0,0,0,0,0,0,0.1902237442922374
58.0,3.0,105000,1,0,1966.0,0,0,0,0,1,0,0,0,0.2200382716049383
115.0,6.0,216000,1,0,2001.0,1,0,0,0,0,0,0,1,0.2200382716049383
82.0,4.0,120000,1,0,1960.0,1,1,0,0,1,0,0,0,0.1902237442922374
83.0,0.0,135000,1,0,1985.0,0,1,0,0,0,0,0,0,0.1902237442922374
90.0,0.0,212000,1,0,2002.0,1,1,0,0,0,1,1,0,0.2200382716049383
95.0,5.0,184000,1,0,2011.0,0,1,0,0,0,1,0,0,0.1526878378378378
89.0,0.0,160000,1,0,1970.0,0,0,0,1,0,0,0,0,0.1902237442922374
178.0,5.0,299990,1,0,1970.0,1,1,0,0,1,1,1,1,0.2095736842105263
59.0,2.0,117000,1,0,1970.0,1,0,0,1,0,0,0,0,0.2095736842105263
100.0,0.0,165000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1888532608695652
68.0,4.0,95000,1,1,1970.0,1,0,0,1,0,0,0,0,0.1902237442922374
50.0,2.0,106000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1739828358208955
114.0,2.0,229000,1,0,1987.0,1,1,0,1,0,0,0,0,0.1739828358208955
81.0,3.0,155000,1,0,1999.0,1,1,0,0,0,1,1,1,0.1902237442922374
91.0,5.0,228208,1,0,2020.0,1,1,0,1,0,1,1,1,0.2200382716049383
95.0,3.0,100000,1,1,1970.0,0,0,0,0,1,0,0,0,0.2200382716049383
80.0,0.0,140000,1,0,1970.0,1,1,0,1,0,0,0,0,0.1739828358208955
60.0,3.0,105000,1,0,1967.0,0,0,0,1,0,0,0,0,0.1902237442922374
80.0,3.0,165000,1,0,1977.0,0,1,0,1,0,0,0,0,0.1888532608695652
60.0,5.0,73000,1,0,1960.0,1,0,0,0,0,0,0,0,0.1526878378378378
50.0,6.0,159000,1,0,2007.0,1,1,0,0,0,1,1,1,0.1902237442922374
136.0,1.0,135990,1,0,1967.0,0,0,0,1,1,1,0,0,0.1739828358208955
96.0,7.0,210000,1,0,2001.0,1,1,0,1,0,1,1,1,0.1888532608695652
71.0,2.0,198000,1,0,2001.0,1,1,0,0,0,1,0,0,0.2095736842105263
74.0,1.0,139900,1,0,1966.0,0,1,0,0,0,0,0,0,0.2095736842105263
65.0,2.0,110000,1,0,1962.0,0,1,0,0,0,0,0,0,0.1526878378378378
93.0,9.0,160000,1,1,1976.0,1,1,0,1,0,0,0,0,0.1739828358208955
75.0,2.0,103000,1,0,1968.0,0,1,0,1,0,0,0,0,0.1902237442922374
63.0,5.0,100000,1,1,1970.0,0,0,0,0,0,0,0,0,0.2095736842105263
65.0,4.0,90000,1,0,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
115.0,1.0,154900,2,0,1975.0,0,1,0,1,0,1,0,0,0.1902237442922374
63.0,2.0,82260,1,0,1970.0,0,0,0,0,0,0,0,0,0.1526878378378378
72.0,6.0,139400,1,0,1961.0,0,0,0,1,0,0,0,0,0.1739828358208955
100.0,0.0,154900,1,0,1970.0,1,1,0,0,0,1,1,1,0.1902237442922374
90.0,3.0,155000,1,0,1998.0,1,1,0,1,0,1,1,1,0.1902237442922374
66.0,2.0,88000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1526878378378378
102.0,5.0,225000,1,0,1970.0,1,0,0,1,0,0,0,0,0.1888532608695652
105.0,6.0,189000,1,0,1995.0,1,1,0,1,0,0,0,1,0.1739828358208955
95.0,4.0,138000,1,0,1970.0,0,0,0,1,0,0,0,0,0.2095736842105263
120.0,2.0,195000,1,0,1962.0,0,0,0,0,0,0,0,0,0.1888532608695652
90.0,4.0,222000,1,0,2001.0,1,1,0,0,0,1,0,1,0.2200382716049383
64.0,0.0,80500,1,1,1970.0,0,1,0,1,0,0,0,0,0.2095736842105263
80.0,3.0,182000,1,0,1974.0,1,0,0,1,0,0,0,0,0.1888532608695652
120.0,2.0,295000,1,0,2003.0,1,1,0,1,1,1,0,1,0.1902237442922374
82.0,6.0,270000,1,0,1970.0,1,1,0,0,0,1,1,1,0.1888532608695652
81.0,3.0,116100,1,0,1970.0,0,0,0,0,0,0,0,0,0.2200382716049383
103.0,4.0,250000,1,0,1970.0,1,1,0,0,0,1,0,1,0.2095736842105263
63.0,4.0,79900,1,0,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
70.0,3.0,99000,1,0,1970.0,1,0,0,0,0,0,0,0,0.1526878378378378
60.0,2.0,74550,1,1,1960.0,1,0,0,0,0,0,0,0,0.1526878378378378
45.0,3.0,105000,1,0,1960.0,0,0,0,0,0,0,0,0,0.1739828358208955
95.0,2.0,130000,1,0,1985.0,1,1,0,1,1,0,0,0,0.2095736842105263
70.0,2.0,120000,1,1,1970.0,0,0,0,0,0,0,0,0,0.2095736842105263
71.0,1.0,149000,1,0,1970.0,0,0,0,0,0,0,0,0,0.2095736842105263
70.0,3.0,135000,1,1,1969.0,0,0,0,0,0,0,0,0,0.2095736842105263
98.0,0.0,230000,1,0,1977.0,0,1,0,1,0,0,0,0,0.2095736842105263
55.0,2.0,91000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1888532608695652
115.0,1.0,184900,1,0,1970.0,1,1,0,1,1,0,0,0,0.2095736842105263
78.0,4.0,127000,1,0,1970.0,0,0,0,1,0,0,0,0,0.1902237442922374
68.0,4.0,83900,1,0,1970.0,0,0,0,0,0,0,0,0,0.1526878378378378
120.0,2.0,180000,1,0,1970.0,1,1,0,1,0,1,1,1,0.1902237442922374
64.0,1.0,76000,1,1,1970.0,1,0,0,0,0,0,0,0,0.1526878378378378
92.0,5.0,163000,1,0,1970.0,0,0,0,0,0,1,0,0,0.1888532608695652
154.0,3.0,280000,1,0,1970.0,1,1,0,1,0,1,1,1,0.2200382716049383
105.0,0.0,180000,1,0,1970.0,1,1,0,1,0,1,0,0,0.2095736842105263
70.0,0.0,128000,1,0,1965.0,0,0,0,0,0,0,0,0,0.1739828358208955
93.0,2.0,166200,1,0,1972.0,0,0,0,1,0,0,0,0,0.1739828358208955
53.0,3.0,114300,1,0,1970.0,0,0,0,1,0,0,0,0,0.2095736842105263
86.0,4.0,129000,1,0,1984.0,1,1,0,1,0,0,0,0,0.1739828358208955
75.0,1.0,132000,1,0,1961.0,0,0,0,0,0,1,0,0,0.1739828358208955
85.0,0.0,135000,1,0,1969.0,0,0,0,0,0,0,0,0,0.1739828358208955
65.0,0.0,99000,1,0,1950.0,0,0,0,0,0,0,0,0,0.1739828358208955
53.0,3.0,114300,1,0,1970.0,0,0,0,0,0,0,0,0,0.2095736842105263
68.0,2.0,88000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1526878378378378
75.0,5.0,110000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1888532608695652
83.0,1.0,146000,1,0,2003.0,0,1,0,1,1,1,0,0,0.1902237442922374
95.0,0.0,112000,1,1,1970.0,0,0,0,1,0,1,0,0,0.1902237442922374
30.0,0.0,59000,1,0,1960.0,0,0,0,0,0,0,1,0,0.1526878378378378
53.0,6.0,146000,1,0,1970.0,0,1,0,1,0,1,0,1,0.2200382716049383
125.0,7.0,275000,3,0,2004.0,0,0,0,1,0,1,1,0,0.2200382716049383
153.0,1.0,178000,1,0,1999.0,1,1,0,0,0,1,1,1,0.1739828358208955
86.0,4.0,129000,1,0,1984.0,1,1,0,1,0,0,0,0,0.1739828358208955
66.0,2.0,96000,1,0,1970.0,1,1,0,0,0,0,0,0,0.1526878378378378
63.0,4.0,82000,1,0,1960.0,0,0,0,0,0,0,0,0,0.1526878378378378
59.0,4.0,126900,1,0,1970.0,0,0,0,1,0,0,0,0,0.2095736842105263
95.0,0.0,199000,1,0,1966.0,0,1,0,0,0,1,1,1,0.1739828358208955
65.0,2.0,232000,1,0,1970.0,0,0,0,0,0,1,0,1,0.1902237442922374
69.0,1.0,240000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1902237442922374
115.0,4.0,330000,1,0,1970.0,0,0,0,0,0,1,1,0,0.2095736842105263
60.0,3.0,120000,1,0,1960.0,0,0,0,0,0,0,0,0,0.1902237442922374
90.0,4.0,172000,1,0,1970.0,1,1,0,0,0,1,1,1,0.1902237442922374
60.0,2.0,82260,1,0,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
65.0,0.0,109000,1,0,1950.0,0,0,0,0,0,0,0,0,0.1888532608695652
115.0,1.0,133000,1,0,1970.0,0,0,0,1,0,1,1,0,0.1888532608695652
83.0,1.0,111000,1,1,1970.0,0,0,0,0,0,0,0,0,0.1526878378378378
55.0,2.0,110000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1902237442922374
80.0,1.0,179990,1,0,2003.0,1,1,0,0,0,1,1,1,0.1739828358208955
68.0,1.0,156000,1,0,1970.0,1,0,0,0,0,0,0,0,0.1902237442922374
89.0,1.0,228000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1902237442922374
61.0,4.0,89000,1,0,1960.0,1,1,0,0,0,0,0,0,0.1526878378378378
67.0,3.0,119000,1,0,1960.0,0,0,0,0,0,0,0,0,0.1888532608695652
68.0,2.0,94000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1526878378378378
92.0,4.0,175000,1,0,1962.0,0,1,0,1,0,0,0,0,0.1739828358208955
70.0,2.0,90000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1739828358208955
63.0,1.0,167000,1,0,1966.0,0,0,0,0,0,0,0,0,0.2095736842105263
57.0,5.0,96000,1,0,1965.0,1,0,0,0,0,0,0,0,0.1739828358208955
63.0,3.0,84000,1,0,1968.0,1,0,0,0,0,0,0,0,0.1902237442922374
